pair,Ticker1,Ticker2,rho,alpha,beta,phi,halflife,ou_mu,ou_sigma,r2,eg_p,adf_p,Nobs
NU-VTEX,NU,VTEX,0.5288294849728478,1.6783524589135148,0.7592738266893753,0.8880935195433043,5.8405589604282016,0.10094698780257276,0.6669643236817135,0.8399092790177152,0.08443625056606141,0.024444594394043038,260
GLOB-NU,GLOB,NU,0.5287389374802194,118.86497927372673,16.728862951292133,0.8953175864774735,6.268469659188239,0.06476128241919281,16.481488120923284,0.8016556551514604,0.0331647748598392,0.00827312039491378,260
MELI-NU,MELI,NU,0.6103648242907393,530.068549254769,71.89859207898341,0.9032525143830459,6.812048070720778,8.164911180122072,87.74391475392274,0.821832115666903,0.00036016842432946123,5.356910393907614e-05,260
PAGS-VTEX,PAGS,VTEX,0.4208333081872071,4.212135043317628,1.834944850298677,0.9113891866753567,7.470444606400153,-0.32859414733006836,3.0499725652210623,0.8437988409605592,0.008370298347466327,0.001716558171768634,359
CEPU-VIST,CEPU,VIST,0.44289830314113765,1.4590526550808804,0.2114680643306358,0.9235554906434897,8.716157989104026,-0.014313749730503585,0.2455068562195497,0.8668064696476941,3.5627675093542e-06,3.7558563946452626e-07,756
NU-XP,NU,XP,0.4941149392247157,-1.314349992068721,0.34053293666321266,0.9243795712339417,8.81502149616581,-0.10408035744292428,0.8766387641485728,0.8773419582707513,0.06501707657420551,0.017607285794378768,260
ERJ-NU,ERJ,NU,0.559669507913222,5.261501099575693,1.0596401450524922,0.9303022709962687,9.594300550096044,0.15404168155793302,1.0363348919649575,0.8667188372808292,0.1612153538134689,0.05654500792418423,260
MELI-VTEX,MELI,VTEX,0.5117658900166372,711.2577327277961,43.54494866800338,0.9312786009631013,9.735651134414333,6.215568745029198,120.15522877758418,0.8698237819890835,0.004672438008955807,0.0008488549772719725,359
BBAR-SUPV,BBAR,SUPV,0.7951443476912197,0.2417140955295732,1.0884423347171257,0.9384256089699279,10.906824963654595,0.008301090836886545,0.1713709638076536,0.8740566080305708,0.03486044514165344,0.008822361945229656,756
PAX-VINP,PAX,VINP,0.415428931601637,5.492410569159635,0.7607887920681162,0.9405978164180789,11.318604795446738,0.03106242530595684,0.8333434924598929,0.8868838091110923,0.01969379968049218,0.004515506847797363,479
NU-VLRS,NU,VLRS,0.3910382303167453,0.7166668646106231,0.3904817134781218,0.9430573265694404,11.822759417967035,-0.23839109143216336,1.0364917791998371,0.9160648619021323,0.40985044731633724,0.18142855676615044,260
NU-PAX,NU,PAX,0.4293009825804485,-9.661739753629796,1.2892343627708538,0.943714656436462,11.964959081608667,-0.2771424480191511,1.269374601502649,0.9087873770110846,0.10480632900695797,0.033243777937191334,260
CX-NU,CX,NU,0.4150241933933282,2.1787649762366748,0.3987597941786033,0.944678999629192,12.179688253323613,0.05029221611929058,0.46625006415450243,0.8944752450815936,0.14492229999640194,0.04935991729497693,260
DLO-VTEX,DLO,VTEX,0.38511043705235803,16.222460527705255,1.5139409874551282,0.9458390322772572,12.448120024403307,-0.01794915678166303,5.790463813129214,0.8938319813114181,0.022419293486914585,0.005121582547209848,359
DLO-MELI,DLO,MELI,0.47394872364064655,-6.395918826630411,0.032747579636281256,0.9462556569824354,12.547354511660666,-0.07261947291961084,5.611327384999377,0.8931318509291549,0.13266865651298781,0.04376781858149642,392
ASR-CAAP,ASR,CAAP,0.42110110525440925,41.87155148177905,17.370273405156446,0.9487252666904968,13.168685262846449,0.13381659889593922,9.813873421903782,0.9001247584357401,0.0014492711608924869,0.00023959090227015348,756
NU-PAGS,NU,PAGS,0.5964371571716967,0.16217140141485462,0.39611761184153405,0.9489948919496928,13.240162651969234,0.06504196940024021,1.0671324517188232,0.8987575379216072,0.3049474831941506,0.13272174146159105,260
DLO-PAGS,DLO,PAGS,0.48620102345615035,14.440892426092661,0.7082031050728596,0.9500661768720842,13.531783798543458,0.6676724809542667,5.6082541916646,0.921355550812313,0.019801805880378564,0.004086443462540895,392
DLO-XP,DLO,XP,0.37263468567188207,-0.8078013266844063,1.2491742334755045,0.9523754922327836,14.20502989646293,0.5727809182344925,6.044776926528331,0.9162439986011519,0.05961886641079205,0.016660928495332974,392
BAP-IFS,BAP,IFS,0.6212191346097257,21.82364402161596,4.908594802049313,0.9534264658313644,14.533527189905493,-0.3487986501633126,8.980508920937307,0.9128664864915165,0.005509012127490645,0.0010542221061265648,756
