pair,entry_date,exit_date,direction,entry_pos,entry_z,exit_z,n_days,trade_pnl
NU-VTEX,2023-04-21,2023-07-17,SHORT,-1.0,2.216860289326968,0.43051512781866996,87,-1.389833128573843
NU-VTEX,2023-08-17,2023-09-13,LONG,1.0,-2.2423182810432594,-0.37705412073423866,27,-0.08030196355259833
NU-VTEX,2024-01-31,2024-02-02,LONG,1.0,-2.0415283770781936,0.32278219110613565,2,0.35463726782177374
NU-VTEX,2024-02-07,2024-04-18,SHORT,-1.0,2.0015620709299666,0.2083225051830769,71,-1.4654967413469664
NU-VTEX,2024-05-08,2024-07-30,SHORT,-1.0,2.9301718016312295,0.3568787799361885,83,-0.6917917144591315
NU-VTEX,2024-08-16,2024-09-26,SHORT,-1.0,2.26677176136763,0.21202749706614896,41,-0.8365122128554376
NU-VTEX,2024-11-11,2024-11-15,SHORT,-1.0,2.3052710708750546,0.13943467220920086,4,0.6288074902367768
NU-VTEX,2024-12-03,2025-01-23,LONG,1.0,-2.298886080782153,-0.3580866204518449,51,0.1903350316052297
NU-VTEX,2025-08-15,2025-10-16,SHORT,-1.0,2.8581098411954455,0.42296311911125667,62,-1.9438406879045984
NU-VTEX,2025-11-25,2025-12-17,SHORT,-1.0,2.682328128534633,0.304955705065238,22,0.33947250990280486
NU-VTEX,2026-01-05,2026-02-05,SHORT,-1.0,2.3439788911227497,0.4521259918888343,31,0.4388793672423492
NU-VTEX,2026-02-26,2026-04-14,LONG,1.0,-2.2524575734634857,-0.4541314458288613,47,-0.9083402650809207
GLOB-NU,2023-04-25,2023-05-26,LONG,1.0,-2.9512807055603907,-0.2959182818028966,31,-0.834730275931534
GLOB-NU,2023-08-28,2023-10-10,SHORT,-1.0,2.2822931711548256,0.3846417737969685,43,2.150240589881724
GLOB-NU,2024-02-16,2024-06-24,LONG,1.0,-2.7966469966244225,-0.48427919684130727,129,-83.79622648802987
GLOB-NU,2024-08-01,2024-08-09,SHORT,-1.0,2.292789139036448,0.39693872976088046,8,13.747466041378667
GLOB-NU,2024-09-17,2024-09-26,LONG,1.0,-2.158760751345622,-0.08037217737252786,9,6.419603169923866
GLOB-NU,2024-11-20,2025-01-21,SHORT,-1.0,2.1179739846572803,0.44391290479791645,62,-27.983928910068542
GLOB-NU,2025-02-21,2025-07-25,LONG,1.0,-2.007923110419537,-0.44879892090164947,154,-95.35306864456032
GLOB-NU,2025-08-15,2025-11-13,LONG,1.0,-2.2395268637796972,-0.11353581785479101,90,-56.357701942310754
GLOB-NU,2025-11-26,2025-12-05,LONG,1.0,-2.6597832824769982,-0.2822785017697271,9,0.41267837652820916
GLOB-NU,2026-01-05,2026-01-13,LONG,1.0,-2.5970371611679153,-0.21414489986231006,8,15.682573755489809
GLOB-NU,2026-01-22,2026-04-09,LONG,1.0,-2.158846976902424,0.47846291992812245,77,34.95864693344791
GLOB-NU,2026-05-15,2026-05-29,SHORT,-1.0,2.2964458571445174,1.217412053391074,14,14.153713754526425
MELI-NU,2023-05-24,2023-07-31,LONG,1.0,-2.0846249851456906,-0.47774562968170536,68,-138.36634507212113
MELI-NU,2023-08-30,2023-09-26,SHORT,-1.0,2.292563657623329,0.45944903459105163,27,44.48549274798384
MELI-NU,2023-11-27,2024-01-03,SHORT,-1.0,2.200430506469456,0.4877178969362152,37,66.8000909819484
MELI-NU,2024-02-23,2024-05-02,LONG,1.0,-2.174940283124939,-0.26258867297366895,69,-221.44513257765277
MELI-NU,2024-05-20,2024-06-05,SHORT,-1.0,2.031155878501114,0.3343901808417093,16,137.07297277468345
MELI-NU,2024-08-02,2024-10-15,SHORT,-1.0,2.9866173691009603,0.38547225105444766,74,-34.761930095773494
MELI-NU,2024-10-29,2024-11-01,LONG,1.0,-2.0376414630271147,0.23460249921948312,3,50.015946509042294
MELI-NU,2024-11-07,2024-11-19,LONG,1.0,-5.129195474741839,-0.4882835312430937,12,253.51661627828275
MELI-NU,2025-02-20,2025-04-01,SHORT,-1.0,2.4574548625763755,0.22951160168064932,40,-64.82043405401544
MELI-NU,2025-05-08,2025-06-11,SHORT,-1.0,2.0444051920018644,0.28831231902448207,34,-47.78098241486177
MELI-NU,2025-09-02,2025-10-30,LONG,1.0,-2.030181077487301,-0.311387635025742,58,-173.99935479629676
MELI-NU,2025-11-20,2026-01-06,LONG,1.0,-2.2025597529467946,-0.21208916449339105,47,58.9950705377384
MELI-NU,2026-02-06,2026-04-07,LONG,1.0,-2.240509884449207,-0.32750592876874357,60,-35.62901362307963
MELI-NU,2026-05-07,2026-05-11,SHORT,-1.0,2.096596312671271,-2.071519355116813,4,202.96900568214446
MELI-NU,2026-05-11,2026-05-18,LONG,1.0,-2.071519355116813,-0.0765952052499235,7,134.81964700670693
PAGS-VTEX,2023-04-14,2023-05-26,SHORT,-1.0,2.584205009820424,0.3230303763365669,42,-1.8580109885658853
PAGS-VTEX,2023-07-17,2023-08-01,LONG,1.0,-2.0550507194470278,-0.40857524179038557,15,1.5392409899381136
PAGS-VTEX,2023-08-22,2023-09-22,LONG,1.0,-2.1362964082293305,-0.3495086558532254,31,0.6641110302614777
PAGS-VTEX,2023-11-08,2023-12-01,LONG,1.0,-2.93822517411723,-0.03904919481448611,23,1.5639236230599312
PAGS-VTEX,2024-03-04,2024-03-21,LONG,1.0,-2.124901196922126,-0.263470953175333,17,0.5291915873331918
PAGS-VTEX,2024-05-10,2024-06-13,SHORT,-1.0,2.118262007196516,0.31126711468970164,34,1.0142868175753785
PAGS-VTEX,2024-07-15,2024-08-08,SHORT,-1.0,2.002258959552594,0.004097687945461505,24,1.5434893406604864
PAGS-VTEX,2024-08-23,2024-11-06,LONG,1.0,-2.034675463120045,-0.4636776479720993,75,-2.0794991156127507
PAGS-VTEX,2025-01-22,2025-01-27,LONG,1.0,-2.210448501262846,-0.3244743309425807,5,0.165850314345459
PAGS-VTEX,2025-01-28,2025-02-04,LONG,1.0,-2.734218111690143,0.10364674599244014,7,0.36828194411159837
PAGS-VTEX,2025-02-25,2025-05-07,SHORT,-1.0,2.775502673842563,0.061995546050044495,71,-2.5935718364729943
PAGS-VTEX,2025-05-27,2025-06-24,LONG,1.0,-2.676218582186964,-0.3971518099106583,28,0.38377370057273685
PAGS-VTEX,2025-08-08,2025-10-06,SHORT,-1.0,5.345460201078466,0.43095906666450756,59,-0.626120121122526
PAGS-VTEX,2025-11-11,2026-02-27,SHORT,-1.0,2.0411778610028,0.3244431706679824,108,-2.6621956095235113
CEPU-VIST,2023-03-31,2023-04-26,LONG,1.0,-2.006213786451842,-0.42923198346884145,26,0.24014570273974722
CEPU-VIST,2023-05-30,2023-06-21,SHORT,-1.0,2.030107371110409,0.4628468206503328,22,0.018083225076939824
CEPU-VIST,2023-07-10,2023-08-24,LONG,1.0,-2.009909877183534,-0.28642780773347387,45,0.032052021818403054
CEPU-VIST,2023-09-15,2023-10-18,LONG,1.0,-2.2148464260961687,-0.4829664080735473,33,-0.5076317790229927
CEPU-VIST,2023-11-27,2024-02-07,SHORT,-1.0,2.0629732993811296,-0.005006096165205806,72,-1.3129535980493574
CEPU-VIST,2024-02-26,2024-04-03,LONG,1.0,-2.0526034057697258,-0.43269732592542404,37,-0.2242753399853299
CEPU-VIST,2024-06-25,2024-09-04,LONG,1.0,-2.025905228142028,-0.2986749267523088,71,-0.730913008019483
CEPU-VIST,2024-09-11,2024-09-24,SHORT,-1.0,2.1180093966147266,0.3845591973780521,13,0.5037723396271159
CEPU-VIST,2024-11-07,2025-01-13,SHORT,-1.0,2.2037086194378297,0.159411703733163,67,-1.4850318269703395
CEPU-VIST,2025-04-24,2025-05-09,LONG,1.0,-2.1396620790364875,0.03487562655239621,15,0.1719551957174994
CEPU-VIST,2025-05-20,2025-06-02,SHORT,-1.0,2.2735514161177797,0.1101048808002932,13,0.6058311516461872
CEPU-VIST,2025-08-07,2025-08-19,SHORT,-1.0,2.0811373200346006,0.4311193807650408,12,0.7361255655247269
CEPU-VIST,2025-09-18,2025-10-13,LONG,1.0,-2.0155784859750323,-0.4889372910627847,25,0.17070408404243942
CEPU-VIST,2025-10-29,2026-01-13,SHORT,-1.0,2.114814431571069,0.3450001292409683,76,-2.2201004693267112
CEPU-VIST,2026-03-03,2026-04-08,LONG,1.0,-2.2790213660369596,-0.1487621709340576,36,-0.27675133562760124
CEPU-VIST,2026-04-29,2026-05-27,LONG,1.0,-2.098508761851391,-0.49340331545568755,28,0.10764964388770526
NU-XP,2023-05-23,2023-05-26,SHORT,-1.0,2.0426409897274596,0.02504105241578821,3,0.19709810491339005
NU-XP,2023-06-21,2023-06-28,LONG,1.0,-2.674978860208873,-0.22173526066419508,7,0.560741028585379
NU-XP,2023-07-20,2023-08-15,LONG,1.0,-2.743741482181311,-0.40015077118414494,26,0.1685792582698432
NU-XP,2023-08-23,2023-09-22,LONG,1.0,-2.533056999594224,-0.4938073040193372,30,0.6320920008362453
NU-XP,2023-10-11,2023-11-15,SHORT,-1.0,2.4918644335159756,0.46649768239889006,35,-0.8543719692593241
NU-XP,2024-02-09,2024-07-29,SHORT,-1.0,2.0969420076827814,0.4828063711316439,171,-4.8452863380281475
NU-XP,2024-08-19,2024-09-26,SHORT,-1.0,2.0218415845224125,0.44888796475878484,38,-1.0558588585119886
NU-XP,2024-11-11,2024-11-15,SHORT,-1.0,2.5826841838396186,0.1029785536210994,4,0.47432748576677297
NU-XP,2024-12-18,2025-01-21,LONG,1.0,-2.3490107163733907,-0.375586270749642,34,1.095822128408234
NU-XP,2025-02-21,2025-03-14,LONG,1.0,-2.0994496332126475,-0.4159410498080243,21,0.1783374366887197
NU-XP,2025-07-17,2025-07-31,SHORT,-1.0,2.1169082415625406,0.39022005473627464,14,0.786799536020159
NU-XP,2025-08-20,2025-11-13,SHORT,-1.0,2.2510292891427715,-0.2946588130718648,85,-1.502488796135584
NU-XP,2025-11-25,2026-01-13,SHORT,-1.0,2.4662133701390636,0.489600714703883,49,-0.6930524286838793
NU-XP,2026-02-23,2026-05-01,LONG,1.0,-3.350982108332483,-0.4980188604401857,67,-0.8602397499401848
NU-XP,2026-05-15,2026-05-29,LONG,1.0,-2.511062403713743,-0.4610995470887655,14,1.0246022424964867
ERJ-NU,2023-03-23,2023-04-27,SHORT,-1.0,2.401136627691019,0.3368899209920292,35,0.6809513151267348
ERJ-NU,2023-10-05,2023-11-03,LONG,1.0,-2.0803856452112077,-0.3595546395637577,29,0.5286302765749448
ERJ-NU,2023-11-30,2024-01-04,SHORT,-1.0,2.399287751128537,0.456808805099904,35,-0.08575699264298886
ERJ-NU,2024-03-14,2024-06-14,SHORT,-1.0,2.359548394742492,0.3958431197003759,92,-5.901485409242756
ERJ-NU,2024-09-04,2024-10-09,SHORT,-1.0,2.1335048223637485,0.4626455145488737,35,0.347902100476813
ERJ-NU,2024-11-11,2025-02-04,SHORT,-1.0,2.2507545924419077,0.42601595914349677,85,-4.8038604898467945
ERJ-NU,2025-02-05,2025-04-02,SHORT,-1.0,2.6669989529027225,0.45352753668435414,56,-3.921021464197757
ERJ-NU,2025-06-18,2025-07-16,SHORT,-1.0,2.4692093340279326,0.044974071004139575,28,1.166197490880518
ERJ-NU,2025-07-31,2025-08-20,SHORT,-1.0,2.045891289744364,0.43167287274521265,20,2.4554558292609725
ERJ-NU,2025-10-28,2025-11-21,SHORT,-1.0,2.9859128324150963,0.00039607117218749843,24,4.150698177762644
MELI-VTEX,2023-06-26,2023-07-31,LONG,1.0,-2.6734676385077085,-0.44508662746236266,35,35.30378749216092
MELI-VTEX,2023-09-01,2023-09-21,SHORT,-1.0,2.4689827949912764,0.4816020141508252,20,57.87969964915655
MELI-VTEX,2023-11-24,2024-01-03,SHORT,-1.0,2.036161965793027,0.404808295493703,40,-3.722419293185368
MELI-VTEX,2024-02-22,2024-02-23,SHORT,-1.0,2.274403924372454,-0.4165423730641299,1,-1.0696708605849325
MELI-VTEX,2024-03-05,2024-05-02,LONG,1.0,-2.1422948166914826,-0.21030521366065688,58,-32.53412046051261
MELI-VTEX,2024-05-17,2024-06-11,SHORT,-1.0,2.010755041301466,0.41277845226082344,25,130.15072349827057
MELI-VTEX,2024-08-02,2024-10-02,SHORT,-1.0,2.529878058254695,0.2888628114621257,61,-236.5705671574063
MELI-VTEX,2024-11-07,2024-11-22,LONG,1.0,-3.6626602425009924,-0.06276919796816349,15,207.43671475766013
MELI-VTEX,2024-12-09,2025-01-16,LONG,1.0,-2.0753113031566746,-0.4735676579390442,38,-3.28787623600698
MELI-VTEX,2025-02-14,2025-03-31,SHORT,-1.0,2.139674250825342,0.03585131406265414,45,5.859896741551097
MELI-VTEX,2025-04-29,2025-06-10,SHORT,-1.0,2.120858786416796,0.46021757660565127,42,-116.74362751031265
MELI-VTEX,2025-10-01,2025-10-27,LONG,1.0,-2.6129714669646327,-0.3138785912999466,26,-25.6908486484935
MELI-VTEX,2025-11-20,2025-12-04,LONG,1.0,-2.2373631087280232,-0.41914278685047146,14,204.24232477515295
MELI-VTEX,2026-01-27,2026-02-03,SHORT,-1.0,2.0867355851566005,0.4520570986053699,7,136.9790203297904
MELI-VTEX,2026-02-25,2026-04-13,LONG,1.0,-2.8140280577130503,-0.3876438762413356,47,-41.29139659879223
BBAR-SUPV,2023-04-13,2023-05-03,SHORT,-1.0,2.089851634871942,0.4979023156324841,20,0.043307928813179436
BBAR-SUPV,2023-06-06,2023-07-14,SHORT,-1.0,2.0098399823718394,0.02814912565429183,38,-0.06189611981772031
BBAR-SUPV,2023-11-20,2023-11-22,SHORT,-1.0,2.847285693348417,-2.5670072479862083,2,0.1860131173361738
BBAR-SUPV,2023-11-22,2024-01-26,LONG,1.0,-2.5670072479862083,-0.4627021883271009,65,-0.49674443855554673
BBAR-SUPV,2024-03-05,2024-05-23,SHORT,-1.0,2.25730948006412,-0.24339875020237947,79,-0.7503004393163422
BBAR-SUPV,2024-06-03,2024-06-06,SHORT,-1.0,2.108357886397524,0.4071515838193415,3,0.15150132218209314
BBAR-SUPV,2024-06-28,2024-07-09,LONG,1.0,-2.3866140189650573,0.24570563721333294,11,0.4260708462332897
BBAR-SUPV,2024-08-15,2024-08-26,SHORT,-1.0,2.5673354498938146,0.47616837065503265,11,0.2429100896303119
BBAR-SUPV,2024-09-04,2024-11-27,SHORT,-1.0,3.114036936484992,0.4459542225148233,84,-1.421376817200494
BBAR-SUPV,2024-12-18,2025-01-02,LONG,1.0,-2.30532675660267,-0.0324881105179837,15,0.900039366225807
BBAR-SUPV,2025-05-13,2025-05-20,SHORT,-1.0,2.5708849209966576,0.16046423356701117,7,0.3592454909097462
BBAR-SUPV,2025-05-21,2025-05-22,SHORT,-1.0,2.017538497093557,-0.475607748985249,1,-0.01920348790418227
BBAR-SUPV,2025-05-27,2025-07-01,SHORT,-1.0,2.6349190732893186,0.4037988441844121,35,-0.04296681240640299
BBAR-SUPV,2025-08-26,2025-10-27,LONG,1.0,-2.060622221336957,-0.13830111028045222,62,-0.8897233267766957
BBAR-SUPV,2025-11-26,2026-02-09,SHORT,-1.0,2.5427336890593817,0.35550428211573665,75,-2.0347138972583965
BBAR-SUPV,2026-05-11,2026-05-29,SHORT,-1.0,2.706289256004914,2.5635946726723398,18,-1.1042616869902768
PAX-VINP,2023-05-22,2023-06-08,SHORT,-1.0,2.6409801525600556,0.27778792211839626,17,0.1730174640690691
PAX-VINP,2023-06-16,2023-06-22,LONG,1.0,-2.1765885274848666,-0.3085605769022937,6,0.5447860570539158
PAX-VINP,2023-06-26,2023-07-17,LONG,1.0,-3.2172485472008865,-0.40994913575825526,21,0.6606276575210551
PAX-VINP,2023-10-11,2023-11-10,LONG,1.0,-2.31761568534658,-0.42425472018668253,30,-0.02214905099851805
PAX-VINP,2023-12-14,2024-01-08,SHORT,-1.0,2.0510127203637873,0.3646395252333446,25,0.38198301568838244
PAX-VINP,2024-04-26,2024-07-15,LONG,1.0,-2.159743167168015,-0.39692913053674816,80,-0.8209511693575298
PAX-VINP,2024-08-01,2024-08-30,LONG,1.0,-2.2870024920964935,-0.21135458449807262,29,-0.00736221291502448
PAX-VINP,2024-11-06,2024-12-18,SHORT,-1.0,2.452289944631912,0.4918555141454831,42,-0.4973286864829153
PAX-VINP,2025-03-28,2025-05-06,LONG,1.0,-2.0602886204861037,-0.41605058931626315,39,-0.2156220997017343
PAX-VINP,2025-05-13,2025-07-21,SHORT,-1.0,2.0827244315377844,0.3872200085268052,69,-1.5095210201897467
PAX-VINP,2025-09-15,2025-09-26,SHORT,-1.0,2.358952247609696,0.23952030239510144,11,0.3983678271409654
PAX-VINP,2026-01-05,2026-01-27,SHORT,-1.0,2.50133779715077,-0.13255536600568535,22,-0.21269963957506177
PAX-VINP,2026-05-13,2026-05-27,LONG,1.0,-2.025013356804728,-0.4019275327230076,14,0.38226207833276593
NU-VLRS,2023-05-08,2023-08-31,SHORT,-1.0,3.0423803278757977,0.3924278523076029,115,-1.8359737515853478
NU-VLRS,2023-09-28,2023-11-27,SHORT,-1.0,2.2812600859039476,0.3967615683236703,60,-0.940668050299079
